predict_flag,true_flag,predicted_flag
['7a5390d93675f7ecb77b418b77e9fa533282ff23'],0.0,1.0
['64dbc2892759c92460c1a4733f85ea3746ba8bd9'],0.0,0.0
"['3f7f323556edd0026ce03b7e15b44dea5cab5963', '3f7f323556edd0026ce03b7e15b44dea5cab5963', '7e287a02bf2dd603103aec048a64f1be38d889de']",0.0,1.0
"['172df3219af525b2faba47da1ea0ebda7718523b', 'e52c53a7f25bf4bd47c226b4a59d24d96094ca49']",0.0,1.0
['6187ee631b1abae799fe038d111a993c1d6ada71'],0.0,
['43b72537dcbd8770f48fc2a92612b44717d809c1'],0.0,
['c7697c6e0aee50d8658dde525a730ab79fef7c93'],0.0,
['de5396ac92c460323e6bde4bef91e83db3ed845b'],0.0,
['af5d10969559ac193cf6071d37815580ab639cfe'],1.0,
['a02c074ba9b5da98b305d31cea3d9936e700b730'],1.0,1.0
['60de05d77d5d81607ddba536efe29a9adfe38dea'],1.0,1.0
['693b508b1de706bf2d5ce7cd0fca3ced31f8043b'],1.0,1.0
"['336a10b6c4add113b3ef4889f0af9d047c1f5b49', 'a132a9bd99776dd9af6a8de3964438d5671cdc69']",1.0,1.0
"['10822ce7307bec2c5f1533173ae6880e64ccc122', 'e115b5aa72f90bd5c6700cbd1762ebce8591d59a', 'ed3911b7aae3ffea776c6d2a0b38e2ca44a821ed']",1.0,1.0
['10c9128eb2b8c17a66fdf6563129a9f22d81c787'],1.0,
['d659d2580a0ecef56b37c4eafcd4f68a424a2cd3'],-1.0,0.0
"['084a6e24d5c852343c03e90191f7a6d05f4d3daa', '0d5f87c8e1a8dc6b373844cc05c2249cea2b2a2e', '3e10adfa013a089fa036b5b73d0bf146ae1ba05e', '4e327d694173322aaf07a5a2315e1e24939911b3', 'b1f5fb0a6d5e94da841bcec6cb05790dae640da4']",-1.0,1.0
"['52d34ae38b242997b2a9615e1b67030ad7f9daf4', '5f99be72e8ed8bdcd5a1e4ced6491ad8fa1f9956', '8f9102731137efb1c5f002c6358a4de2d92c2bf8', 'd4cb3cc98f33327e75e41ad81f39ff88d4f43340', 'dbb21a90d95f9ae2977ff44703e3ca642dfe8d81']",0.0,0.0
['583f5ba0ee714778e10c206be05cf78e2112572f'],0.0,
